origen_id,destino_id,origen_lat,origen_lon,destino_lat,destino_lon,calle,distancia_m,trafico,distancia_trafico_m,tiempo_estimado_s,distrito_origen,distrito_destino
310954567,4226846551,-12.1737447,-77.0063708,-12.1741338,-77.00602,Jirón Andrómeda,57.67,2.37,136.68,16.41,Chorrillos,Chorrillos
310954567,10030115747,-12.1737447,-77.0063708,-12.1738214,-77.0064603,Calle Los Manglares,12.94,2.08,26.92,3.23,Chorrillos,Chorrillos
310954567,310954599,-12.1737447,-77.0063708,-12.1734123,-77.0060029,Calle Los Manglares,54.46,2.09,113.82,13.66,Chorrillos,Chorrillos
310954567,310955280,-12.1737447,-77.0063708,-12.1733742,-77.0067048,Jirón Andrómeda,54.91,1.3,71.38,8.57,Chorrillos,Chorrillos
310954593,371264086,-12.171727,-77.0062204,-12.1720234,-77.0066058,Calle Los Galenos,53.3,1.09,58.1,6.97,Chorrillos,Chorrillos
310954593,371264015,-12.171727,-77.0062204,-12.1702135,-77.0075999,Los Compositores,225.4,1.88,423.75,50.87,Chorrillos,Chorrillos
310954598,4396322690,-12.1708524,-77.008329,-12.1705445,-77.0079684,Los Maestros,52.04,2.44,126.98,15.24,Chorrillos,Chorrillos
310954598,371263985,-12.1708524,-77.008329,-12.17118,-77.0087085,Los Maestros,55.03,1.6,88.05,10.57,Chorrillos,Chorrillos
310954598,371264146,-12.1708524,-77.008329,-12.1723383,-77.0069903,Los Labradores,220.17,1.51,332.46,39.91,Chorrillos,Chorrillos
310954599,1229283791,-12.1734123,-77.0060029,-12.172693,-77.0066703,Los Labradores,107.98,1.61,173.85,20.87,Chorrillos,Chorrillos
310954599,310954567,-12.1734123,-77.0060029,-12.1737447,-77.0063708,Calle Los Manglares,54.46,1.34,72.98,8.76,Chorrillos,Chorrillos
310954605,310955206,-12.176408,-77.0076551,-12.1760468,-77.0079981,Calle Las Capironas,54.8,1.8,98.64,11.84,Chorrillos,Chorrillos
310954605,310955204,-12.176408,-77.0076551,-12.1773344,-77.0086681,Calle Los Tumbos,150.78,1.47,221.65,26.61,Chorrillos,Chorrillos
310954605,310955203,-12.176408,-77.0076551,-12.176034,-77.007258,Calle Los Tumbos,59.94,1.42,85.11,10.22,Chorrillos,Chorrillos
